GMT,AST,Seconds in Period,Speed (M/S)
2019-08-01 00:10:00,2019-07-31 20:10:00,600,3.49538704235774
2019-08-01 00:20:00,2019-07-31 20:20:00,600,3.79535871901227
2019-08-01 00:30:00,2019-07-31 20:30:00,600,4.0122036848546996
2019-08-01 00:40:00,2019-07-31 20:40:00,600,4.1722152929478602
2019-08-01 00:50:00,2019-07-31 20:50:00,600,4.3218957296877001
2019-08-01 01:00:00,2019-07-31 21:00:00,600,4.4277638824584198
2019-08-01 01:10:00,2019-07-31 21:10:00,600,4.4518580472109699
2019-08-01 01:20:00,2019-07-31 21:20:00,600,4.4017597467335499
2019-08-01 01:30:00,2019-07-31 21:30:00,600,4.3507997100079301
2019-08-01 01:40:00,2019-07-31 21:40:00,600,4.3125807064259298
2019-08-01 01:50:00,2019-07-31 21:50:00,600,4.1208969180621304
2019-08-01 02:00:00,2019-07-31 22:00:00,600,4.0118304743966204
2019-08-01 02:10:00,2019-07-31 22:10:00,600,3.9590535973063199
2019-08-01 02:20:00,2019-07-31 22:20:00,600,3.8771162134625601
2019-08-01 02:30:00,2019-07-31 22:30:00,600,3.6982519921842201
2019-08-01 02:40:00,2019-07-31 22:40:00,600,3.5351423115960001
2019-08-01 02:50:00,2019-07-31 22:50:00,600,3.3439939040719602
2019-08-01 03:00:00,2019-07-31 23:00:00,600,3.1202819792853802
2019-08-01 03:10:00,2019-07-31 23:10:00,600,2.8692957419982901
2019-08-01 03:20:00,2019-07-31 23:20:00,600,2.5847607553019198
2019-08-01 03:30:00,2019-07-31 23:30:00,600,2.3543836241781899
2019-08-01 03:40:00,2019-07-31 23:40:00,600,2.1218084649905
2019-08-01 03:50:00,2019-07-31 23:50:00,600,1.7901489136458799
2019-08-01 04:00:00,2019-08-01 00:00:00,600,1.35574832565645
2019-08-01 04:10:00,2019-08-01 00:10:00,600,0.82710049973291799
2019-08-01 04:20:00,2019-08-01 00:20:00,600,0.32177438921773799
2019-08-01 04:30:00,2019-08-01 00:30:00,600,0.27751890741917901
2019-08-01 04:40:00,2019-08-01 00:40:00,600,1.2291468714601299
2019-08-01 04:50:00,2019-08-01 00:50:00,600,0.96147444628748002
2019-08-01 05:00:00,2019-08-01 01:00:00,600,2.2375133989368798
2019-08-01 05:10:00,2019-08-01 01:10:00,600,2.7284203871951198
2019-08-01 05:20:00,2019-08-01 01:20:00,600,2.8558262986791898
2019-08-01 05:30:00,2019-08-01 01:30:00,600,2.7154720604691902
2019-08-01 05:40:00,2019-08-01 01:40:00,600,2.60408300801689
2019-08-01 05:50:00,2019-08-01 01:50:00,600,2.5299789611807499
2019-08-01 06:00:00,2019-08-01 02:00:00,600,2.6254840266321802
2019-08-01 06:10:00,2019-08-01 02:10:00,600,2.8517864938881701
2019-08-01 06:20:00,2019-08-01 02:20:00,600,3.0290644841204299
2019-08-01 06:30:00,2019-08-01 02:30:00,600,3.0859285470629301
2019-08-01 06:40:00,2019-08-01 02:40:00,600,3.0627771997586
2019-08-01 06:50:00,2019-08-01 02:50:00,600,3.0107813986595202
2019-08-01 07:00:00,2019-08-01 03:00:00,600,2.96241813546597
2019-08-01 07:10:00,2019-08-01 03:10:00,600,2.8846340221353399
2019-08-01 07:20:00,2019-08-01 03:20:00,600,2.80351715608142
2019-08-01 07:30:00,2019-08-01 03:30:00,600,2.7039863145310599
2019-08-01 07:40:00,2019-08-01 03:40:00,600,2.5930315657034702
2019-08-01 07:50:00,2019-08-01 03:50:00,600,2.47787790512628
2019-08-01 08:00:00,2019-08-01 04:00:00,600,2.3610907099694902
2019-08-01 08:10:00,2019-08-01 04:10:00,600,2.2447987772936
2019-08-01 08:20:00,2019-08-01 04:20:00,600,2.1001434383919899
2019-08-01 08:30:00,2019-08-01 04:30:00,600,1.9600615452019201
2019-08-01 08:40:00,2019-08-01 04:40:00,600,1.81022524471885
2019-08-01 08:50:00,2019-08-01 04:50:00,600,1.6675312714805699
2019-08-01 09:00:00,2019-08-01 05:00:00,600,1.52069491061837
2019-08-01 09:10:00,2019-08-01 05:10:00,600,1.3966774817023899
2019-08-01 09:20:00,2019-08-01 05:20:00,600,1.2732935615268499
2019-08-01 09:30:00,2019-08-01 05:30:00,600,1.13746594599538
2019-08-01 09:40:00,2019-08-01 05:40:00,600,0.99624930143257295
2019-08-01 09:50:00,2019-08-01 05:50:00,600,0.74283027625861398
2019-08-01 10:00:00,2019-08-01 06:00:00,600,0.68226261579013803
2019-08-01 10:10:00,2019-08-01 06:10:00,600,0.49172254366214802
2019-08-01 10:20:00,2019-08-01 06:20:00,600,0.215024417880646
2019-08-01 10:30:00,2019-08-01 06:30:00,600,0.58882602680878204
2019-08-01 10:40:00,2019-08-01 06:40:00,600,0.938514550233983
2019-08-01 10:50:00,2019-08-01 06:50:00,600,1.2644008334330299
2019-08-01 11:00:00,2019-08-01 07:00:00,600,1.74733195519322
2019-08-01 11:10:00,2019-08-01 07:10:00,600,1.8327180207762801
2019-08-01 11:20:00,2019-08-01 07:20:00,600,1.7983223478808601
2019-08-01 11:30:00,2019-08-01 07:30:00,600,2.0392666651968798
2019-08-01 11:40:00,2019-08-01 07:40:00,600,2.2378011660585901
2019-08-01 11:50:00,2019-08-01 07:50:00,600,2.4598570709356
2019-08-01 12:00:00,2019-08-01 08:00:00,600,2.6475559518645002
2019-08-01 12:10:00,2019-08-01 08:10:00,600,2.83351916774006
2019-08-01 12:20:00,2019-08-01 08:20:00,600,3.0744316683119202
2019-08-01 12:30:00,2019-08-01 08:30:00,600,3.3850199878245801
2019-08-01 12:40:00,2019-08-01 08:40:00,600,3.7032019370956202
2019-08-01 12:50:00,2019-08-01 08:50:00,600,3.9749971071794401
2019-08-01 13:00:00,2019-08-01 09:00:00,600,4.1641429687249403
2019-08-01 13:10:00,2019-08-01 09:10:00,600,4.3548910490991704
2019-08-01 13:20:00,2019-08-01 09:20:00,600,4.5177334711722903
2019-08-01 13:30:00,2019-08-01 09:30:00,600,4.5766963485996497
2019-08-01 13:40:00,2019-08-01 09:40:00,600,4.5082160330492398
2019-08-01 13:50:00,2019-08-01 09:50:00,600,4.4415096618942904
